id_comment;id_user;id_movie;content;date
0;1;1;It is no wonder that the film has such a high rating, it is quite literally breathtaking. What can I say that hasn't said before? Not much, it's the story, the acting, the premise, but most of all, this movie is about how it makes you feel. Sometimes you watch a film, and can't remember it days later, this film loves with you, once you've seen it, you don't forget.The ultimate story of friendship, of hope, and of life, and overcoming adversity.I understand why so many class this as the best film of all time, it isn't mine, but I get it. If you haven't seen it, or haven't seen it for some time, you need to watch it, it's amazing. ;2022-07-14
0;2;1;The best movie in history and the best ending in any entertainment business;2022-09-07
0;3;1;The Shawshank Redemption has great performances, extremely well written script and story all leading to a deeply emotional climax! One of the best dramas of all time!;2023-02-28
0;4;1;"The Shawshank Redemption is without a doubt one of the most brilliant movies I have ever seen. Similar to The Green Mile in many respects (and better than it in almost all of them), these two movies have shown us that Stephen King is a master not only of horror but also of prose that shakes the soul and moves the heart. The plot is average, but King did great things with it in his novella that are only furthered by the direction, and the acting is so top-rate it's almost scary. Tim Robbins plays Andy Dufrane, wrongly imprisoned for 20 years for the murder of his wife. The story focuses on Andy's relationship with ""Red"" Redding (Morgan Freeman, in probably his best role) and his attempts to escape from Shawshank. Bob Gunton is positively evil and frightening as Warden Norton, and there are great performances and cameos all around; the most prominent one being Gil Bellows (late as Billy of Ally McBeal) as Tommy, a fellow inmate of Andy's who suffers under the iron will of Norton. If you haven't seen this movie, GO AND RENT IT NOW. You will not be disappointed. It is positively the best movie of the '90's, and one of my Top 3 of all time. This movie is a spectacle to move the mind, soul, and heart. ";2022-09-10
0;5;1;There's a reason this is rated the #1 . It is the same reason you simply watch this movie every time you see it on tv even if it's already half way over. It's captivating, brilliant and full of heart.;2022-08-09
0;6;2;This isn't just a beautifully crafted gangster film. Or an outstanding family portrait, for that matter. An amazing period piece. A character study. A lesson in filmmaking and an inspiration to generations of actors, directors, screenwriters and producers. For me, this is more: this is the definitive film.;2022-07-30
0;7;2;One of the best films of all time, an absolute masterpiece. The Godfather is arguably the best gangster drama as well as setting the standard for cinema.;2023-02-28
0;8;2;"Up until today, I haven't bothered to review ""The Godfather"". After all, everyone pretty much knows it's one of the greatest films ever made. It's #2 on IMDb's Top 100. It won the Best Picture Oscar. And, there are nearly 1600 reviews on IMDb. So what's one more review?! Well, after completing 14,000 reviews (because I am nuts), I guess it's time I got around to reviewing a film I should have reviewed a long time ago. So, here goes....the film is perfect and only a dope wouldn't watch it. Unfortunately, IMDb requires me to say more to meet it's 10 line minimum for reviews. So, I'll point out that you do NOT need to like gangster films to enjoy this film. Yes, it's violent and nasty in spots--but it's also brilliantly written and produced from start to finish and deserves the accolades it's received.";2023-04-27
0;9;2;This movie is strong, good script, great casting, excellent acting, and over the top directing. It is hard to fine a movie done this well, it is 29 years old and has aged well. Even if the viewer does not like mafia type of movies, he or she will watch the entire film, the audiences is glued to what will happen next as the film progresses. Its about, family, loyalty, greed, relationships, and real life. This is a great mix, and the artistic style make the film memorable.;2022-06-29
0;10;2;This film is pretty much the perfection of the craft. Every single aspect of The Godfather is outstanding. There are so many iconic lines and moments throughout the movie that have been replicated and entrenched in culture over the years. There really isn't too much else to say. This is truly the peak of filmmaking.;2022-07-05
0;11;3;Confidently directed, dark, brooding, and packed with impressive action sequences and a complex story, The Dark Knight includes a career-defining turn from Heath Ledger as well as other Oscar worthy performances, TDK remains not only the best Batman movie, but comic book movie ever created.;2023-03-08
0;12;3;This movie is a work of art. The finest sequel ever made. I don't think we will see another movie like this for a long time. Heath Ledger's Joker is the best movie charachter I have ever seen by far. Avengers Endgame is great, but The Dark Knight is much better. The best Batman ever! The best Joker ever! The best DC movie ever! The best superhero movie ever! Ando for me, the best movie ever!;2023-05-12
0;13;3;"Dark, yes, complex, ambitious. Christopher Nolan and his co-writer Jonathan Nolan deserve a standing ovation. I don't usually go for loud movies filled with mindless gore and violence. ""The Dark Knight"" is certainly loud and violent but it's not mindless. It has depth and soul. Even the Joker, in an extraordinary creation by Heath Ledger, is deeply human. The natural petulance of Christian Bale makes his ego and alter ego the most fascinating and complex of all film superheroes. Part of the genius of this movie is that Batman himself, in screen time, is not really the lead. My attention was captivated by Heath Ledger and he determines and inspires the breathtaking atmosphere that envelopes Gotham as well as us. The aplomb of Christopher Nolan as a director is mind blowing and his secret, I believe, is his obvious respect for his audience. What he's done is to elevate a popular genre into Shakesperean proportions. Bravo!";2022-09-16
0;1;3;"I couldn't believe ""The Dark knight"" could live up to the hype. That's perhaps the biggest surprise. The secret, I believe, is a stunning, mature, intelligent script. That makes it the best superhero movie ever made. As if that wasn't enough, Heath Ledger. He, the newest of the tragic modern icons present us with a preview of something we'll never see. A fearless, extraordinary actor capable to fill up with humanity even the most grotesque of villains. His performance is a master class. Fortunately, Christian Bale's Batman is almost a supporting character. Bale is good but there is something around his mouth that stops him from being great. ""The Dark Knight"" is visually stunning, powerful and moving. What else could anyone want.";2023-06-12
0;2;4;"""The Godfather: Part II"" is a very suspenseful drama with a very exciting story, with great acting and great special effects. I would definitely recommend you watch this movie...but first watch the original classic from 1972 ""The Godfather"" . The movie may not be as good as the first movie but is still an amazing sequel.";2023-05-23
0;3;4;After seeing The Godfather and improving it as one of my favorite films, I wanted to get more into The Godfather so I rented this. Words can't describe how great this sequel was. The acting once again was amazing and the story and how the movie went on just never got me bored. Everything in this movie was clearly beautiful. The ending by far was my favorite when there all sitting at the table talking. There were so many great scenes like Vito when he was younger, Fredo at the lake, and many many more. You have to see this movie because it's just brilliant filmaking. It's not better than it's first film but still an extremely worth sequel.;2022-09-10
0;4;4;To say that this film is a sequel is a sin. Al Pacino and Robert de Niro win the Oscar for this film, Robert de Niro's performance as Vito Corleone is perfect, every scene in which this one is perfect. Al Pacino as always perfect and unlike the first film, he is much better.;2023-04-15
0;5;4;This movie is way to be good to be labelled a sequel to The Godfather . Rather it is more of a companion piece to the original and the two perfectly compliment each other . IT is both a sequel and prequel showing the rise of the young vito and moral decline of Micheal . Both characters are brought to life with uncanny ability by Robert DeNiro and Al Pacino . To say that these two are good actors is like saying that a nuclear bomb makes a loud noise and in this movie they prove why they are at the top of their respective crafts .Al Pacino is the standout in the ensemble cast and its amazing how his eyes have changed from the first part . They are now cold , ruthless and unemotional and betray the price which Micheal Corleone has paid for power .Watch this movie and learn why it is the greatest gangster film of all time.;2023-05-21
0;6;5;Intense courtroom drama which has 12 very different people, all males, struggling with a murder case involving a young Puerto Rican boy that seems cut-and-dried. However, juror Henry Fonda does not believe it to be as sure-fire as it appears. He votes not guilty and what follows is a chain of events that will test the views, beliefs and thoughts of the other 11 members. Fonda is great, but Lee J. Cobb steals every scene (and that is not easy to do in a film like this). Ed Begley, Martin Balsam, Jack Warden, Jack Klugman, Joseph Sweeney, E.G. Marshall and John Fiedler are among the other individuals caught in a situation that is much more difficult than it appears on the surface. An excellent character-study that should be studied and embraced by all present and future film-makers. 5 stars out of 5.;2023-06-23
0;7;5;For a while I was not very receptive to watching films that were too old. I always thought it would be difficult to get involved in the context, I couldn't be more wrong! 12 angry men, is a great example of how a simple film can do magic with good actors, and what great actors they are!;2023-03-15
0;8;5;There are a few wonderful courtroom dramas out there, Anatomy of a Murder, To Kill a Mockingbird and Witness for the Prosecution immediately springing to mind. 12 Angry Men is so brilliant, it could very well be the definitive courtroom drama on film. Sidney Lumet's direction is masterly, and although the action takes place on one set(an actual New York drawing room) there are a huge variety of innovative camera angles and visual set-ups. The screenplay is sophisticated and smart, and the story is compelling and intelligent. The film is also brilliantly made, and the acting is superb. Henry Fonda especially dominates the film, with an integrity that makes his character so wonderful, but the other actors are wonderful as well, Ed Begley, Jack Warden, John Fiedler, Lee J Cobb, Rudy Bond et al. are all impeccable support to Fonda. Overall, brilliant courtroom drama. 10/10 Bethany Cox;2022-09-07
0;9;5;Oh Boy Oh Boy, it Took me Seven years to Rewatch This Masterpiece, Damn why don't they make em like this Anymore.;2022-11-23
0;10;6;Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List. Me n my kids cried during the pit scene.;2022-10-02
0;11;6;I have only ever seen this film once, I only ever want to see this film once and I will only ever need to see this film once. It is etched on my mind. I, like many others, left in silence. I could not imagine inventing a critical analysis of this film, picking small points of detail or of style, or even scoring points off the Director. It stands alone as a monumental piece of cinema, a magnificent accomplishment.;2022-07-23
0;12;6;I've seen this film one time in 1994. This is one of the best movies ever made, but many scenes of the film are so brutal, that I'm afraid to see this film for a second time.;2023-02-12
0;13;6;Schindler 's List is the best film about Nazism that I 've seen so far , the script is great , the cast is amazing, Liam Neeson , Ralph Fiennes , Ben Kingsley and etc. , the direction is Steven Spielberg , I admit that surprised me , you do not believe that the director of Jurassic Park , Jaws and É.T , directed this film is very different from the ones I mentioned , is only a proof that Spielberg is excellent and versatile, the photography is excellent , the film is all black and white, and the costumes and excellent performances are great, Liam Neeson ta great , plus the highlight in my view is Ralph Fiennes who is impeccable , the soundtrack is good, and the end is excellent , the film has a rhythm reasonable , I did not find it tiring , but many can become bored , Schindler 's List is so far in my opinion the best of Spielberg, who has exciting moments and a great cast.;2023-06-08
0;1;7;Best movie in the trilogy and sealed in the best possible way;2022-11-06
0;2;7;Wonderful on every level. Love the characters and special effects. One of the biggest, most massive battle scenes ever put on the silver screen. A great end to a monumental epic.;2023-06-20
0;3;7;The greatest tragedy of the human race is that they will never make a better movie than Return of the King.;2022-10-23
